Date,Type,GOAT,SOL,Txn
2024-12-24 20:33:59,Sell,158.645348,0.434201939,M8czCyhRu35tpcY69kEPynPwHi5KveGQ5Vr6tgvgdta47HUmqoQ6KqFepHySTVfBVDTKpgFZox1VavoduJfrxGx
2024-12-24 20:33:30,Buy,473.078339,1.301233521,5fyRaKC786hcQtZHMfPHsX3EBETgvRZ5wZXYrCu7n4WAtbsBMo6DGnDagjnNgJpKxBjBGJp6FoDp7kJTGJRtjNjE
2024-12-24 20:33:26,Buy,473.046113,1.300997319,4u2fNa2u2kViod7UgDWjcxPZmkbifu5pDdMbKCDHmwGQXepy2dvZsMpom6YnjXAacSpHkABT89u1T7HHwKKFW8ub
